"","PFAS","food_web","species","Study_ID","filename","note","TL_mean","PFUnDA_mean","PFOS_mean","PFDA_mean","PFDoDA_mean","log_PFDA_mean","log_PFDoDA_mean","log_PFOS_mean","log_PFUnDA_mean"
"1","PFDA","food web 2","species 1","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",2.5,NA,NA,0.58,NA,-0.236572006437063,NA,NA,NA
"2","PFDA","food web 2","species 10","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,0.3,NA,-0.522878745280338,NA,NA,NA
"3","PFDA","food web 2","species 11","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.7,NA,NA,2.3,NA,0.361727836017593,NA,NA,NA
"4","PFDA","food web 2","species 12","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,NA,1.2,NA,0.0791812460476248,NA,NA,NA
"5","PFDA","food web 2","species 13","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,NA,NA,NA,NA,NA,NA,NA
"6","PFDA","food web 2","species 14","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.5,NA,NA,7.9,NA,0.897627091290441,NA,NA,NA
"7","PFDA","food web 2","species 15","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,NA,2.4,NA,0.380211241711606,NA,NA,NA
"8","PFDA","food web 2","species 16","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,NA,2.2,NA,0.342422680822206,NA,NA,NA
"9","PFDA","food web 2","species 17","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,NA,0.54,NA,-0.267606240177031,NA,NA,NA
"10","PFDA","food web 2","species 18","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,NA,2.5,NA,0.397940008672038,NA,NA,NA
